"","0s","10s","20s","30s","40s","50s","60s","70s","80s"
"2020-03-02",32,169,1235,506,633,834,530,192,81
"2020-03-03",34,204,1417,578,713,952,597,224,93
"2020-03-04",34,233,1575,631,790,1051,646,260,108
"2020-03-05",38,257,1727,659,847,1127,699,288,124
"2020-03-06",45,292,1877,693,889,1217,763,340,168
"2020-03-07",52,327,2038,727,941,1287,830,384,191
"2020-03-08",58,360,2133,760,975,1349,878,409,212
"2020-03-09",66,381,2190,779,1005,1391,916,438,216
"2020-03-10",67,393,2213,789,1030,1416,929,454,222
"2020-03-11",75,405,2238,804,1082,1472,960,483,236
"2020-03-12",76,412,2261,812,1101,1495,972,497,243
"2020-03-13",77,421,2274,823,1117,1523,985,506,253
"2020-03-14",81,424,2287,833,1133,1551,999,515,263
"2020-03-15",83,427,2301,842,1141,1568,1012,525,263
"2020-03-16",85,432,2313,849,1147,1585,1024,531,270
"2020-03-17",86,436,2330,856,1164,1602,1033,539,274
"2020-03-18",87,438,2342,873,1171,1615,1059,542,286
"2020-03-19",91,444,2358,886,1181,1642,1080,562,321
"2020-03-20",97,452,2365,893,1193,1656,1099,568,329
"2020-03-21",99,457,2380,900,1203,1672,1118,589,381
"2020-03-22",101,460,2396,909,1221,1691,1132,595,392
"2020-03-23",103,460,2417,917,1228,1702,1139,599,396
"2020-03-24",105,468,2438,921,1234,1716,1146,608,401
"2020-03-25",105,475,2473,943,1246,1724,1154,611,406
"2020-03-26",106,488,2508,955,1252,1738,1162,616,416
"2020-03-27",108,496,2532,960,1256,1752,1170,630,428
"2020-03-28",109,501,2567,978,1278,1780,1201,632,432
"2020-03-29",111,508,2602,993,1292,1798,1210,635,434
"2020-03-30",112,513,2630,1002,1297,1812,1218,640,437
"2020-03-31",112,515,2656,1012,1312,1851,1235,651,442
"2020-04-01",116,519,2682,1027,1323,1865,1245,658,452
"2020-04-02",119,522,2704,1043,1336,1878,1258,663,453
