"","0s","10s","20s","30s","40s","50s","60s","70s","80s"
"2020-03-02",0,0,0,1,1,5,6,6,3
"2020-03-03",0,0,0,1,1,5,7,9,5
"2020-03-04",0,0,0,1,1,5,7,12,6
"2020-03-05",0,0,0,1,1,5,8,13,7
"2020-03-06",0,0,0,1,1,5,11,14,10
"2020-03-07",0,0,0,1,1,5,11,14,12
"2020-03-08",0,0,0,1,1,5,11,18,14
"2020-03-09",0,0,0,1,1,5,12,18,14
"2020-03-10",0,0,0,1,1,5,13,19,15
"2020-03-11",0,0,0,1,1,6,14,21,17
"2020-03-12",0,0,0,1,1,6,14,24,20
"2020-03-13",0,0,0,1,1,6,14,24,21
"2020-03-14",0,0,0,1,1,6,14,27,23
"2020-03-15",0,0,0,1,1,6,14,28,25
"2020-03-16",0,0,0,1,1,6,14,28,25
"2020-03-17",0,0,0,1,1,6,16,29,28
"2020-03-18",0,0,0,1,1,6,16,29,31
"2020-03-19",0,0,0,1,1,7,17,34,31
"2020-03-20",0,0,0,1,1,7,17,35,33
"2020-03-21",0,0,0,1,1,7,17,37,39
"2020-03-22",0,0,0,1,1,7,17,37,41
"2020-03-23",0,0,0,1,1,7,18,38,46
"2020-03-24",0,0,0,1,1,8,20,38,52
"2020-03-25",0,0,0,1,1,10,20,39,55
"2020-03-26",0,0,0,1,1,10,20,41,58
"2020-03-27",0,0,0,1,1,10,21,41,65
"2020-03-28",0,0,0,1,1,10,21,41,70
"2020-03-29",0,0,0,1,1,10,21,43,76
"2020-03-30",0,0,0,1,1,10,21,45,80
"2020-03-31",0,0,0,1,1,10,22,46,82
"2020-04-01",0,0,0,1,1,10,23,46,84
"2020-04-02",0,0,0,1,2,11,23,47,85
"2020-04-03",0,0,0,1,2,12,24,49,86
"2020-04-04",0,0,0,1,2,12,25,50,87
"2020-04-05",0,0,0,1,2,13,25,51,91
"2020-04-06",0,0,0,1,2,13,26,52,92
"2020-04-07",0,0,0,1,2,13,26,57,93
"2020-04-08",0,0,0,1,3,13,27,60,96
"2020-04-09",0,0,0,1,3,13,27,60,100
"2020-04-10",0,0,0,1,3,13,28,62,101
"2020-04-11",0,0,0,1,3,14,29,63,101
"2020-04-12",0,0,0,1,3,14,31,63,102
"2020-04-13",0,0,0,1,3,14,32,64,103
"2020-04-14",0,0,0,1,3,14,33,65,106
"2020-04-15",0,0,0,1,3,14,33,68,106
"2020-04-16",0,0,0,1,3,14,33,68,110
"2020-04-17",0,0,0,1,3,14,33,68,111
"2020-04-18",0,0,0,1,3,15,33,68,112
"2020-04-19",0,0,0,2,3,15,34,68,112
"2020-04-20",0,0,0,2,3,15,34,69,113
"2020-04-21",0,0,0,2,3,15,34,70,113
"2020-04-22",0,0,0,2,3,15,34,71,113
"2020-04-23",0,0,0,2,3,15,35,71,114
"2020-04-24",0,0,0,2,3,15,35,71,114
"2020-04-25",0,0,0,2,3,15,35,71,114
"2020-04-26",0,0,0,2,3,15,35,72,115
"2020-04-27",0,0,0,2,3,15,35,72,116
"2020-04-28",0,0,0,2,3,15,35,73,116
"2020-04-29",0,0,0,2,3,15,35,73,118
"2020-04-30",0,0,0,2,3,15,35,74,118
"2020-05-01",0,0,0,2,3,15,35,75,118
"2020-05-02",0,0,0,2,3,15,35,75,120
"2020-05-03",0,0,0,2,3,15,35,75,120
"2020-05-04",0,0,0,2,3,15,36,76,120
"2020-05-05",0,0,0,2,3,15,36,76,122
"2020-05-06",0,0,0,2,3,15,36,77,122
"2020-05-07",0,0,0,2,3,15,37,77,122
"2020-05-08",0,0,0,2,3,15,37,77,122
"2020-05-09",0,0,0,2,3,15,37,77,122
"2020-05-10",0,0,0,2,3,15,37,77,122
"2020-05-11",0,0,0,2,3,15,37,77,122
"2020-05-12",0,0,0,2,3,15,37,77,124
"2020-05-13",0,0,0,2,3,15,37,77,125
"2020-05-14",0,0,0,2,3,15,38,77,125
"2020-05-15",0,0,0,2,3,15,38,77,125
"2020-05-16",0,0,0,2,3,15,38,77,127
"2020-05-17",0,0,0,2,3,15,38,77,127
"2020-05-18",0,0,0,2,3,15,38,78,127
"2020-05-19",0,0,0,2,3,15,38,78,127
"2020-05-20",0,0,0,2,3,15,38,78,127
"2020-05-21",0,0,0,2,3,15,38,78,128
"2020-05-22",0,0,0,2,3,15,38,78,128
"2020-05-23",0,0,0,2,3,15,39,78,129
"2020-05-24",0,0,0,2,3,15,39,78,129
"2020-05-25",0,0,0,2,3,15,39,79,129
"2020-05-26",0,0,0,2,3,15,39,79,131
"2020-05-27",0,0,0,2,3,15,39,79,131
"2020-05-28",0,0,0,2,3,15,39,79,131
"2020-05-29",0,0,0,2,3,15,39,79,131
"2020-05-30",0,0,0,2,3,15,39,79,131
"2020-05-31",0,0,0,2,3,15,39,80,131
"2020-06-01",0,0,0,2,3,15,39,80,132
"2020-06-02",0,0,0,2,3,15,39,80,133
"2020-06-03",0,0,0,2,3,15,39,81,133
"2020-06-04",0,0,0,2,3,15,39,81,133
"2020-06-05",0,0,0,2,3,15,39,81,133
"2020-06-06",0,0,0,2,3,15,39,81,133
"2020-06-07",0,0,0,2,3,15,39,81,133
"2020-06-08",0,0,0,2,3,15,39,81,133
"2020-06-09",0,0,0,2,3,15,39,81,134
"2020-06-10",0,0,0,2,3,15,39,81,136
"2020-06-11",0,0,0,2,3,15,39,81,136
"2020-06-12",0,0,0,2,3,15,40,81,136
"2020-06-13",0,0,0,2,3,15,40,81,136
"2020-06-14",0,0,0,2,3,15,40,81,136
"2020-06-15",0,0,0,2,3,15,40,81,136
"2020-06-16",0,0,0,2,3,15,40,81,137
"2020-06-17",0,0,0,2,3,15,40,81,138
"2020-06-18",0,0,0,2,3,15,40,81,139
"2020-06-19",0,0,0,2,3,15,40,81,139
"2020-06-20",0,0,0,2,3,15,40,81,139
"2020-06-21",0,0,0,2,3,15,40,81,139
"2020-06-22",0,0,0,2,3,15,40,81,139
"2020-06-23",0,0,0,2,3,15,41,81,139
"2020-06-24",0,0,0,2,3,15,41,81,139
"2020-06-25",0,0,0,2,3,15,41,82,139
"2020-06-26",0,0,0,2,3,15,41,82,139
"2020-06-27",0,0,0,2,3,15,41,82,139
"2020-06-28",0,0,0,2,3,15,41,82,139
"2020-06-29",0,0,0,2,3,15,41,82,139
