"","0s","10s","20s","30s","40s","50s","60s","70s","80s"
"2020-03-02",32,168,1226,501,627,823,520,185,77
"2020-03-03",34,203,1407,573,707,940,586,213,87
"2020-03-04",34,231,1563,625,783,1038,634,246,101
"2020-03-05",37,253,1701,648,833,1105,680,271,115
"2020-03-06",44,287,1845,680,873,1191,739,320,155
"2020-03-07",51,321,2003,713,924,1260,805,363,176
"2020-03-08",57,353,2094,745,956,1319,851,384,194
"2020-03-09",65,372,2141,760,981,1355,883,410,197
"2020-03-10",65,380,2140,762,995,1364,885,420,200
"2020-03-11",72,390,2155,773,1041,1411,910,444,210
"2020-03-12",73,395,2165,777,1053,1426,917,452,213
"2020-03-13",72,394,2129,769,1045,1420,908,450,216
"2020-03-14",74,387,2085,758,1032,1408,897,443,217
"2020-03-15",75,383,2066,755,1023,1402,895,443,211
"2020-03-16",73,372,1994,731,988,1360,869,430,208
"2020-03-17",72,363,1938,711,967,1326,843,419,200
"2020-03-18",71,358,1913,712,956,1313,849,414,203
"2020-03-19",70,343,1822,684,912,1262,817,400,217
"2020-03-20",72,335,1755,662,884,1222,798,386,211
"2020-03-21",70,321,1673,632,845,1169,769,377,229
"2020-03-22",68,310,1613,611,821,1131,745,363,223
"2020-03-23",67,297,1563,592,793,1094,719,349,210
"2020-03-24",64,286,1492,563,754,1042,681,334,193
"2020-03-25",62,281,1463,557,736,1010,663,323,185
"2020-03-26",58,269,1383,526,690,949,621,299,171
"2020-03-27",56,255,1303,493,646,892,581,283,155
"2020-03-28",54,247,1264,481,628,866,570,270,143
"2020-03-29",53,241,1235,470,612,844,554,258,130
"2020-03-30",51,235,1207,459,594,821,538,249,121
"2020-03-31",50,230,1188,452,586,818,531,245,116
"2020-04-01",51,227,1172,448,577,805,521,242,113
"2020-04-02",49,217,1124,433,554,770,500,229,103
