date,time,age,confirmed,deceased
2020.3.2,0,0s,32,0
2020.3.2,0,10s,169,0
2020.3.2,0,20s,1235,0
2020.3.2,0,30s,506,1
2020.3.2,0,40s,633,1
2020.3.2,0,50s,834,5
2020.3.2,0,60s,530,6
2020.3.2,0,70s,192,6
2020.3.2,0,80s,81,3
2020.3.3,0,0s,34,0
2020.3.3,0,10s,204,0
2020.3.3,0,20s,1417,0
2020.3.3,0,30s,578,1
2020.3.3,0,40s,713,1
2020.3.3,0,50s,952,5
2020.3.3,0,60s,597,7
2020.3.3,0,70s,224,9
2020.3.3,0,80s,93,5
2020.3.4,0,0s,34,0
2020.3.4,0,10s,233,0
2020.3.4,0,20s,1575,0
2020.3.4,0,30s,631,1
2020.3.4,0,40s,790,1
2020.3.4,0,50s,1051,5
2020.3.4,0,60s,646,7
2020.3.4,0,70s,260,12
2020.3.4,0,80s,108,6
2020.3.5,0,0s,38,0
2020.3.5,0,10s,257,0
2020.3.5,0,20s,1727,0
2020.3.5,0,30s,659,1
2020.3.5,0,40s,847,1
2020.3.5,0,50s,1127,5
2020.3.5,0,60s,699,8
2020.3.5,0,70s,288,13
2020.3.5,0,80s,124,7
2020.3.6,0,0s,45,0
2020.3.6,0,10s,292,0
2020.3.6,0,20s,1877,0
2020.3.6,0,30s,693,1
2020.3.6,0,40s,889,1
2020.3.6,0,50s,1217,5
2020.3.6,0,60s,763,11
2020.3.6,0,70s,340,14
2020.3.6,0,80s,168,10
2020.3.7,0,0s,52,0
2020.3.7,0,10s,327,0
2020.3.7,0,20s,2038,0
2020.3.7,0,30s,727,1
2020.3.7,0,40s,941,1
2020.3.7,0,50s,1287,5
2020.3.7,0,60s,830,11
2020.3.7,0,70s,384,14
2020.3.7,0,80s,191,12
2020.3.8,0,0s,58,0
2020.3.8,0,10s,360,0
2020.3.8,0,20s,2133,0
2020.3.8,0,30s,760,1
2020.3.8,0,40s,975,1
2020.3.8,0,50s,1349,5
2020.3.8,0,60s,878,11
2020.3.8,0,70s,409,18
2020.3.8,0,80s,212,14
2020.3.9,0,0s,66,0
2020.3.9,0,10s,381,0
2020.3.9,0,20s,2190,0
2020.3.9,0,30s,779,1
2020.3.9,0,40s,1005,1
2020.3.9,0,50s,1391,5
2020.3.9,0,60s,916,12
2020.3.9,0,70s,438,18
2020.3.9,0,80s,216,14
2020.3.10,0,0s,67,0
2020.3.10,0,10s,393,0
2020.3.10,0,20s,2213,0
2020.3.10,0,30s,789,1
2020.3.10,0,40s,1030,1
2020.3.10,0,50s,1416,5
2020.3.10,0,60s,929,13
2020.3.10,0,70s,454,19
2020.3.10,0,80s,222,15
2020.3.11,0,0s,75,0
2020.3.11,0,10s,405,0
2020.3.11,0,20s,2238,0
2020.3.11,0,30s,804,1
2020.3.11,0,40s,1082,1
2020.3.11,0,50s,1472,6
2020.3.11,0,60s,960,14
2020.3.11,0,70s,483,21
2020.3.11,0,80s,236,17
2020.3.12,0,0s,76,0
2020.3.12,0,10s,412,0
2020.3.12,0,20s,2261,0
2020.3.12,0,30s,812,1
2020.3.12,0,40s,1101,1
2020.3.12,0,50s,1495,6
2020.3.12,0,60s,972,14
2020.3.12,0,70s,497,24
2020.3.12,0,80s,243,20
2020.3.13,0,0s,77,0
2020.3.13,0,10s,421,0
2020.3.13,0,20s,2274,0
2020.3.13,0,30s,823,1
2020.3.13,0,40s,1117,1
2020.3.13,0,50s,1523,6
2020.3.13,0,60s,985,14
2020.3.13,0,70s,506,24
2020.3.13,0,80s,253,21
2020.3.14,0,0s,81,0
2020.3.14,0,10s,424,0
2020.3.14,0,20s,2287,0
2020.3.14,0,30s,833,1
2020.3.14,0,40s,1133,1
2020.3.14,0,50s,1551,6
2020.3.14,0,60s,999,14
2020.3.14,0,70s,515,27
2020.3.14,0,80s,263,23
2020.3.15,0,0s,83,0
2020.3.15,0,10s,427,0
2020.3.15,0,20s,2301,0
2020.3.15,0,30s,842,1
2020.3.15,0,40s,1141,1
2020.3.15,0,50s,1568,6
2020.3.15,0,60s,1012,14
