"","0s","10s","20s","30s","40s","50s","60s","70s","80s"
"2020-03-02",32,169,1235,506,633,834,530,192,81
"2020-03-03",34,204,1417,578,713,952,597,224,93
"2020-03-04",34,233,1575,631,790,1051,646,260,108
"2020-03-05",38,257,1727,659,847,1127,699,288,124
"2020-03-06",45,292,1877,693,889,1217,763,340,168
"2020-03-07",52,327,2038,727,941,1287,830,384,191
"2020-03-08",58,360,2133,760,975,1349,878,409,212
"2020-03-09",66,381,2190,779,1005,1391,916,438,216
"2020-03-10",67,393,2213,789,1030,1416,929,454,222
"2020-03-11",75,405,2238,804,1082,1472,960,483,236
"2020-03-12",76,412,2261,812,1101,1495,972,497,243
"2020-03-13",77,421,2274,823,1117,1523,985,506,253
"2020-03-14",81,424,2287,833,1133,1551,999,515,263
"2020-03-15",83,427,2301,842,1141,1568,1012,525,263
"2020-03-16",85,432,2313,849,1147,1585,1024,531,270
"2020-03-17",86,436,2330,856,1164,1602,1033,539,274
"2020-03-18",87,438,2342,873,1171,1615,1059,542,286
"2020-03-19",91,444,2358,886,1181,1642,1080,562,321
"2020-03-20",97,452,2365,893,1193,1656,1099,568,329
"2020-03-21",99,457,2380,900,1203,1672,1118,589,381
"2020-03-22",101,460,2396,909,1221,1691,1132,595,392
"2020-03-23",103,460,2417,917,1228,1702,1139,599,396
"2020-03-24",105,468,2438,921,1234,1716,1146,608,401
"2020-03-25",105,475,2473,943,1246,1724,1154,611,406
"2020-03-26",106,488,2508,955,1252,1738,1162,616,416
"2020-03-27",108,496,2532,960,1256,1752,1170,630,428
"2020-03-28",109,501,2567,978,1278,1780,1201,632,432
"2020-03-29",111,508,2602,993,1292,1798,1210,635,434
"2020-03-30",112,513,2630,1002,1297,1812,1218,640,437
"2020-03-31",112,515,2656,1012,1312,1851,1235,651,442
"2020-04-01",116,519,2682,1027,1323,1865,1245,658,452
"2020-04-02",119,522,2704,1043,1336,1878,1258,663,453
"2020-04-03",121,528,2734,1052,1350,1887,1266,668,456
"2020-04-04",122,530,2761,1066,1358,1898,1282,678,461
"2020-04-05",124,535,2789,1083,1370,1904,1289,681,462
"2020-04-06",126,542,2804,1086,1375,1906,1294,686,465
"2020-04-07",126,544,2819,1092,1382,1909,1304,689,466
"2020-04-08",126,548,2832,1102,1387,1915,1312,692,470
"2020-04-09",128,552,2844,1109,1394,1917,1314,692,473
"2020-04-10",129,553,2851,1113,1396,1920,1320,694,474
"2020-04-11",130,558,2856,1115,1399,1926,1327,694,475
"2020-04-12",130,561,2869,1120,1400,1930,1330,697,475
"2020-04-13",132,562,2879,1122,1401,1932,1335,698,476
"2020-04-14",132,565,2886,1126,1405,1935,1338,700,477
"2020-04-15",132,569,2895,1131,1408,1937,1339,702,478
"2020-04-16",135,572,2900,1132,1410,1940,1341,703,480
"2020-04-17",136,576,2909,1135,1411,1942,1342,704,480
"2020-04-18",138,576,2918,1136,1412,1944,1343,705,481
"2020-04-19",138,578,2921,1137,1412,1945,1343,705,482
"2020-04-20",138,581,2926,1139,1412,1948,1343,705,482
"2020-04-21",138,582,2928,1139,1413,1951,1343,706,483
"2020-04-22",138,583,2931,1140,1417,1951,1344,707,483
"2020-04-23",138,584,2933,1141,1418,1952,1344,708,484
"2020-04-24",138,585,2934,1142,1418,1953,1345,708,485
"2020-04-25",139,586,2937,1143,1420,1953,1347,708,485
"2020-04-26",140,586,2940,1147,1421,1953,1347,708,485
"2020-04-27",140,588,2943,1152,1422,1953,1347,708,485
"2020-04-28",140,590,2948,1154,1423,1955,1348,709,485
"2020-04-29",140,590,2951,1156,1426,1956,1348,709,485
"2020-04-30",140,590,2952,1158,1427,1956,1348,709,485
"2020-05-01",140,590,2957,1159,1429,1956,1348,709,486
"2020-05-02",140,590,2960,1160,1430,1956,1349,709,486
"2020-05-03",140,591,2962,1163,1432,1956,1351,710,488
"2020-05-04",140,591,2964,1164,1435,1956,1353,710,488
"2020-05-05",140,591,2964,1165,1436,1957,1353,710,488
"2020-05-06",140,591,2964,1166,1436,1957,1354,710,488
"2020-05-07",140,592,2966,1167,1436,1957,1354,710,488
"2020-05-08",141,592,2967,1174,1438,1957,1355,710,488
"2020-05-09",141,594,2979,1177,1438,1958,1355,710,488
"2020-05-10",141,597,2998,1180,1442,1960,1357,711,488
"2020-05-11",141,598,3019,1188,1446,1960,1358,711,488
"2020-05-12",142,602,3029,1194,1448,1963,1358,711,489
"2020-05-13",143,603,3042,1199,1450,1964,1359,712,490
"2020-05-14",143,614,3056,1202,1451,1964,1359,712,490
"2020-05-15",145,617,3066,1207,1453,1965,1361,714,490
"2020-05-16",147,619,3074,1209,1454,1966,1364,714,490
"2020-05-17",147,620,3079,1211,1457,1967,1364,715,490
"2020-05-18",147,621,3082,1215,1462,1968,1365,715,490
"2020-05-19",148,621,3087,1215,1462,1971,1368,716,490
"2020-05-20",148,627,3100,1219,1468,1972,1369,717,490
"2020-05-21",148,631,3103,1221,1471,1972,1369,717,490
"2020-05-22",149,633,3111,1225,1473,1974,1369,718,490
"2020-05-23",149,634,3113,1231,1474,1983,1372,718,491
"2020-05-24",149,636,3117,1235,1481,1987,1375,719,491
"2020-05-25",149,637,3120,1238,1483,1992,1377,719,491
"2020-05-26",150,638,3123,1242,1486,1996,1378,721,491
"2020-05-27",153,640,3131,1248,1489,2002,1386,724,492
"2020-05-28",155,644,3146,1274,1503,2014,1392,724,492
"2020-05-29",156,650,3158,1283,1513,2023,1400,724,495
"2020-05-30",157,655,3167,1285,1517,2033,1404,725,498
"2020-05-31",157,655,3176,1292,1521,2039,1405,725,498
"2020-06-01",158,657,3178,1296,1527,2052,1410,727,498
"2020-06-02",158,659,3183,1299,1529,2061,1421,732,499
"2020-06-03",159,661,3188,1305,1534,2070,1436,738,499
"2020-06-04",160,661,3193,1308,1537,2079,1445,744,502
"2020-06-05",161,663,3198,1310,1540,2086,1455,751,504
"2020-06-06",164,664,3200,1316,1551,2094,1464,759,507
"2020-06-07",165,670,3203,1322,1559,2105,1476,767,509
"2020-06-08",166,672,3208,1324,1564,2111,1487,770,512
"2020-06-09",166,672,3211,1326,1568,2121,1496,775,517
"2020-06-10",167,674,3217,1335,1569,2128,1512,782,518
"2020-06-11",168,677,3223,1345,1574,2137,1517,787,519
"2020-06-12",168,680,3234,1353,1575,2154,1530,789,520
"2020-06-13",168,681,3243,1354,1578,2163,1538,796,530
"2020-06-14",168,681,3251,1357,1584,2170,1546,797,531
"2020-06-15",170,681,3256,1362,1595,2176,1550,799,532
"2020-06-16",172,682,3259,1366,1599,2182,1558,805,532
"2020-06-17",174,683,3267,1380,1601,2189,1561,810,533
"2020-06-18",175,684,3277,1384,1607,2198,1574,817,541
"2020-06-19",175,686,3285,1393,1610,2210,1585,820,542
"2020-06-20",177,690,3294,1406,1618,2222,1598,823,545
"2020-06-21",177,691,3299,1416,1623,2230,1608,829,548
"2020-06-22",177,692,3302,1420,1624,2235,1610,830,548
"2020-06-23",180,692,3306,1429,1633,2244,1617,834,549
"2020-06-24",182,693,3309,1444,1644,2254,1622,836,551
"2020-06-25",183,696,3309,1453,1646,2260,1627,838,551
"2020-06-26",184,698,3317,1463,1651,2264,1633,839,553
"2020-06-27",185,700,3331,1473,1657,2269,1640,843,555
"2020-06-28",187,703,3343,1485,1667,2275,1653,846,556
"2020-06-29",190,704,3352,1490,1673,2280,1665,847,556
"2020-06-30",192,708,3362,1496,1681,2286,1668,850,556
"2020-07-01",192,710,3366,1509,1683,2302,1674,857,557
"2020-07-02",194,712,3374,1515,1685,2316,1686,864,558
"2020-07-03",196,722,3384,1525,1691,2323,1697,868,561
"2020-07-04",199,724,3396,1541,1699,2331,1706,870,564
"2020-07-05",202,727,3404,1550,1710,2338,1720,876,564
"2020-07-06",206,728,3411,1560,1716,2347,1724,878,567
"2020-07-07",207,730,3423,1566,1723,2354,1731,880,567
"2020-07-08",208,733,3434,1577,1738,2364,1736,886,568
"2020-07-09",210,737,3445,1584,1749,2373,1739,887,569
"2020-07-10",213,740,3455,1593,1754,2381,1742,890,570
"2020-07-11",214,740,3463,1599,1756,2389,1744,894,574
"2020-07-12",216,746,3467,1612,1761,2392,1753,895,575
"2020-07-13",219,750,3485,1627,1770,2396,1758,898,576
"2020-07-14",221,752,3491,1632,1773,2402,1762,902,577
"2020-07-15",222,753,3495,1640,1782,2411,1769,902,577
"2020-07-16",228,755,3508,1655,1791,2417,1775,905,578
"2020-07-17",231,756,3517,1669,1805,2425,1781,908,580
"2020-07-18",234,760,3527,1674,1814,2432,1781,909,580
"2020-07-19",237,762,3531,1684,1817,2435,1787,911,581
"2020-07-20",239,764,3539,1688,1821,2439,1788,911,582
"2020-07-21",240,765,3551,1696,1824,2444,1791,919,586
"2020-07-22",240,772,3559,1704,1834,2453,1802,925,590
"2020-07-23",240,776,3578,1707,1842,2465,1811,929,590
"2020-07-24",241,777,3581,1712,1848,2473,1822,933,592
"2020-07-25",242,778,3594,1750,1882,2487,1830,935,594
"2020-07-26",242,778,3598,1763,1897,2505,1835,936,596
"2020-07-27",243,779,3603,1770,1900,2506,1837,940,597
"2020-07-28",245,781,3607,1774,1907,2511,1840,941,597
