"","0s","10s","20s","30s","40s","50s","60s","70s","80s"
"2020-03-02",32,168,1226,502,628,823,521,185,78
"2020-03-03",34,203,1407,573,707,941,586,214,88
"2020-03-04",34,232,1563,626,783,1038,635,247,102
"2020-03-05",38,254,1701,648,834,1105,681,271,116
"2020-03-06",45,287,1845,681,873,1192,739,321,156
"2020-03-07",52,322,2003,714,924,1260,805,364,176
"2020-03-08",57,354,2094,746,957,1320,852,384,195
"2020-03-09",65,373,2141,761,982,1355,884,411,198
"2020-03-10",65,380,2140,762,995,1365,886,421,201
"2020-03-11",73,390,2155,773,1041,1412,911,445,211
"2020-03-12",73,395,2165,777,1054,1426,918,453,214
"2020-03-13",73,394,2128,770,1045,1420,909,451,218
"2020-03-14",74,387,2084,758,1032,1408,898,445,219
"2020-03-15",75,383,2064,755,1023,1401,896,446,214
"2020-03-16",74,372,1991,730,987,1360,870,433,211
"2020-03-17",72,362,1934,710,966,1325,845,424,205
"2020-03-18",71,358,1909,711,954,1312,851,419,208
"2020-03-19",71,342,1817,682,909,1260,819,407,224
"2020-03-20",72,335,1748,660,881,1219,800,394,219
"2020-03-21",70,320,1666,630,841,1165,771,387,240
"2020-03-22",68,308,1604,608,817,1127,747,374,235
"2020-03-23",67,296,1553,589,789,1089,720,361,225
"2020-03-24",64,284,1480,559,749,1037,684,346,212
"2020-03-25",62,279,1450,553,730,1005,665,336,206
"2020-03-26",58,267,1368,521,682,942,623,314,196
"2020-03-27",55,252,1285,487,637,884,584,299,185
"2020-03-28",53,243,1244,474,619,858,572,287,176
"2020-03-29",52,237,1214,463,603,834,555,277,167
"2020-03-30",51,231,1184,451,584,811,539,268,161
"2020-03-31",50,226,1164,443,575,807,532,266,158
"2020-04-01",50,222,1147,439,565,793,523,262,158
"2020-04-02",49,212,1098,423,542,758,502,250,150
"2020-04-03",48,207,1070,412,528,734,486,243,145
"2020-04-04",45,195,1011,390,497,691,461,230,137
"2020-04-05",45,192,997,387,489,676,452,226,133
"2020-04-06",44,188,972,377,476,657,440,220,130
"2020-04-07",43,185,958,371,469,645,435,215,127
"2020-04-08",43,184,948,369,464,637,431,212,126
"2020-04-09",41,176,904,352,442,605,409,201,119
"2020-04-10",40,169,870,340,426,582,395,193,114
"2020-04-11",39,165,842,329,412,564,383,186,111
"2020-04-12",37,160,817,319,398,546,370,181,107
"2020-04-13",37,157,802,313,390,534,363,177,104
"2020-04-14",36,154,784,306,381,522,355,173,101
"2020-04-15",36,151,769,300,373,511,347,169,99
"2020-04-16",35,145,734,287,356,488,331,161,94
"2020-04-17",34,143,721,281,349,478,325,158,92
"2020-04-18",33,138,696,271,336,460,313,152,88
"2020-04-19",32,133,669,260,323,442,300,146,85
"2020-04-20",31,130,652,254,314,431,292,142,83
"2020-04-21",30,125,626,244,302,414,280,136,80
"2020-04-22",29,122,611,238,295,404,274,133,78
"2020-04-23",28,115,575,224,278,380,257,125,73
"2020-04-24",26,110,552,215,266,365,247,120,70
"2020-04-25",25,104,517,201,250,341,231,113,66
"2020-04-26",24,99,496,194,240,327,222,108,63
"2020-04-27",24,97,486,190,235,320,217,105,61
"2020-04-28",23,93,465,182,224,306,207,101,59
"2020-04-29",22,90,448,175,216,295,199,97,56
"2020-04-30",20,82,410,161,198,270,183,89,51
"2020-05-01",20,82,409,160,197,269,182,88,51
"2020-05-02",19,79,396,155,191,260,176,85,49
"2020-05-03",19,77,383,150,185,251,170,82,48
"2020-05-04",18,75,375,147,181,246,167,81,47
"2020-05-05",17,71,356,140,173,234,159,77,44
"2020-05-06",17,69,343,135,166,225,153,74,43
"2020-05-07",16,64,319,126,155,209,142,69,40
"2020-05-08",15,61,304,121,147,199,135,65,38
"2020-05-09",14,58,286,113,138,187,127,61,36
"2020-05-10",14,57,285,112,137,185,126,61,35
"2020-05-11",14,58,290,114,139,187,127,61,36
"2020-05-12",14,57,286,113,137,184,125,60,35
"2020-05-13",14,57,287,113,137,184,125,60,35
"2020-05-14",13,56,276,109,131,176,120,58,33
"2020-05-15",13,54,268,105,127,170,116,56,32
"2020-05-16",13,54,264,104,125,168,114,55,32
"2020-05-17",13,52,257,101,122,163,111,54,31
"2020-05-18",13,52,257,101,122,163,111,53,31
"2020-05-19",13,51,251,99,119,159,108,52,30
"2020-05-20",11,46,224,88,106,141,96,47,27
"2020-05-21",10,43,207,82,98,131,89,43,25
"2020-05-22",10,42,205,81,97,129,88,43,24
"2020-05-23",10,42,202,80,96,128,87,42,24
"2020-05-24",10,42,203,81,97,129,87,42,24
"2020-05-25",10,42,204,81,97,129,88,42,24
"2020-05-26",10,40,195,78,93,124,84,40,23
"2020-05-27",10,41,200,80,95,127,86,42,24
"2020-05-28",11,43,209,85,100,133,90,43,24
"2020-05-29",11,45,219,89,105,139,95,45,26
"2020-05-30",11,46,220,89,105,140,95,45,26
"2020-05-31",12,47,225,92,108,144,97,46,26
"2020-06-01",12,48,230,94,110,147,99,47,27
"2020-06-02",12,49,233,95,112,150,101,48,27
"2020-06-03",12,50,240,98,115,155,105,50,28
"2020-06-04",13,50,241,99,116,156,107,51,28
"2020-06-05",13,52,250,103,120,162,111,53,29
"2020-06-06",14,54,256,106,124,167,114,55,30
"2020-06-07",14,56,265,110,129,173,119,57,32
"2020-06-08",15,57,272,113,133,178,123,59,33
"2020-06-09",15,58,275,114,134,180,125,60,33
"2020-06-10",15,59,281,117,137,185,129,62,34
"2020-06-11",15,59,281,118,137,185,129,62,34
"2020-06-12",16,62,292,122,142,193,135,64,35
"2020-06-13",16,63,299,125,145,198,138,66,37
"2020-06-14",16,63,301,126,146,199,140,67,37
"2020-06-15",16,65,307,128,150,204,143,68,38
"2020-06-16",17,65,307,129,151,204,143,69,38
"2020-06-17",17,66,314,133,154,209,147,71,38
"2020-06-18",18,68,323,136,158,215,151,73,40
"2020-06-19",18,68,326,138,160,218,154,74,40
