"","Anhui","Beijing","Chongqing","Fujian","Gansu","Guangdong","Guangxi","Guizhou","Hainan","Hebei","Heilongjiang","Henan","Hong Kong","Hubei","Hunan","Inner Mongolia","Jiangsu","Jiangxi","Jilin","Liaoning","Macau","Ningxia","Qinghai","Shaanxi","Shandong","Shanghai","Shanxi","Sichuan","Tianjin","Tibet","Xinjiang","Yunnan","Zhejiang"
"2020-01-22",1,14,6,1,0,26,2,1,4,1,0,5,0,399,4,0,1,2,0,2,1,1,0,0,2,9,1,5,4,0,0,1,10
"2020-01-23",9,22,9,5,2,30,5,3,5,0,2,5,2,399,9,0,5,7,1,3,2,1,0,3,6,16,1,8,4,0,2,2,27
"2020-01-24",15,35,27,10,2,51,23,3,8,1,3,9,2,494,24,1,9,18,3,4,2,2,0,5,15,19,1,15,8,0,2,5,42
"2020-01-25",39,39,57,18,4,76,23,4,19,7,8,32,5,689,43,7,17,18,4,17,2,3,1,15,27,32,6,28,10,0,3,11,61
"2020-01-26",60,66,75,35,7,109,36,5,22,12,14,82,8,964,69,7,32,36,4,21,5,4,1,22,46,38,9,44,14,0,4,16,103
"2020-01-27",70,77,110,59,14,147,46,7,32,17,20,127,8,1302,100,11,46,70,6,27,6,7,6,35,75,49,13,69,23,0,5,26,127
"2020-01-28",106,86,132,80,19,203,49,9,39,32,32,167,8,3349,143,15,69,106,8,34,7,11,6,46,95,61,27,90,24,0,10,44,170
"2020-01-29",150,106,146,84,24,272,56,8,42,47,37,203,10,3341,221,16,98,106,9,38,7,12,6,56,129,90,26,106,27,0,13,55,293
"2020-01-30",198,109,181,101,26,344,76,11,44,64,42,274,10,4651,275,19,128,157,13,40,7,17,8,63,157,106,34,140,31,1,14,70,424
"2020-01-31",234,133,210,120,29,425,85,27,50,81,57,347,12,5461,330,19,163,233,13,47,7,21,8,87,182,125,38,175,32,1,17,82,524
"2020-02-01",292,158,243,144,40,521,98,27,60,95,76,417,13,6736,381,22,196,277,16,63,7,26,9,101,203,158,46,203,41,1,18,91,578
"2020-02-02",333,181,291,159,48,617,109,36,59,100,91,481,15,10532,447,26,229,321,22,69,8,28,11,116,224,171,63,219,47,1,21,102,629
"2020-02-03",394,199,326,178,52,704,120,44,67,109,117,548,15,12722,499,33,263,373,30,73,8,30,13,128,252,192,72,239,59,1,24,112,681
"2020-02-04",460,204,355,191,53,783,129,56,74,121,149,646,16,15677,562,34,296,456,41,79,10,33,15,140,264,206,77,267,65,1,29,117,767
"2020-02-05",507,228,372,194,56,846,137,54,93,128,181,715,20,18483,607,39,318,521,52,85,10,33,14,159,292,227,76,276,66,1,32,123,817
"2020-02-06",557,242,385,201,56,901,154,64,97,143,216,793,23,20677,630,42,339,563,55,89,9,39,15,164,320,231,84,289,76,1,36,126,860
"2020-02-07",618,263,393,204,58,945,155,74,105,149,262,825,24,23139,660,45,365,616,60,92,9,38,15,167,349,246,89,301,78,1,39,126,883
"2020-02-08",674,279,387,215,66,982,166,81,108,164,277,861,25,24881,646,47,388,643,64,97,9,30,15,175,372,244,94,303,83,1,42,121,873
"2020-02-09",706,287,415,215,65,989,176,91,109,170,287,874,28,26965,651,49,397,667,65,95,9,32,15,183,380,248,94,314,86,1,45,123,874
"2020-02-10",739,291,418,222,64,991,185,98,116,175,294,876,37,28532,670,53,411,665,66,95,9,36,15,183,399,250,94,324,86,1,49,130,850
"2020-02-11",751,291,423,222,60,964,181,109,121,189,324,880,48,29659,664,53,422,675,62,92,9,31,13,187,406,250,94,331,94,1,52,133,847
"2020-02-12",758,293,413,219,54,943,189,114,126,195,339,881,48,29612,640,54,418,691,60,95,8,34,9,182,403,253,93,343,99,0,56,128,810
"2020-02-13",748,294,397,222,49,925,187,107,123,194,353,863,51,43437,627,55,431,701,59,94,7,40,7,183,402,252,90,346,95,0,56,129,785
"2020-02-14",735,289,380,218,49,897,188,111,112,193,361,816,54,48175,622,59,436,712,60,89,7,43,7,176,385,227,89,348,86,0,58,126,752
"2020-02-15",723,273,355,214,39,882,189,101,119,187,346,808,54,49030,574,61,418,702,61,87,7,37,5,172,374,201,82,350,82,0,59,126,734
"2020-02-16",701,268,339,205,34,849,186,97,106,192,355,778,54,49847,537,62,399,684,58,80,5,37,5,165,362,187,79,347,76,0,58,129,711
"2020-02-17",687,263,323,200,31,794,183,88,100,176,361,721,57,50338,505,64,368,654,54,77,5,35,5,161,348,171,77,336,76,0,62,124,664
"2020-02-18",615,261,296,199,27,759,171,78,80,166,342,716,59,50633,476,65,349,622,52,67,5,28,3,151,329,155,70,336,77,0,63,115,637
"2020-02-19",567,244,281,181,24,720,156,74,80,150,338,670,56,49665,443,65,313,571,52,65,5,29,2,140,310,145,63,323,73,0,55,111,570
"2020-02-20",507,238,262,166,18,685,153,72,78,133,328,609,60,48510,372,59,275,500,47,61,4,27,2,126,288,133,56,300,69,0,53,93,541
"2020-02-21",443,223,250,143,13,638,147,67,69,119,292,512,61,48637,346,58,258,444,45,59,4,23,0,110,464,121,54,291,67,0,51,76,523
"2020-02-22",386,217,239,130,13,606,143,54,60,100,263,421,61,46439,317,49,230,378,38,54,4,23,0,95,444,105,51,273,67,0,49,65,485
"2020-02-23",346,206,234,122,11,581,141,42,57,86,246,384,61,46395,298,48,213,320,36,47,4,15,0,81,429,83,44,262,51,0,46,57,444
"2020-02-24",320,197,221,109,9,553,137,42,47,71,241,309,58,45044,281,41,179,288,32,40,4,13,0,71,407,71,39,248,45,0,44,48,422
"2020-02-25",271,181,198,94,9,518,116,40,39,57,225,250,63,43252,244,40,173,250,29,37,3,10,0,58,395,65,35,237,41,0,44,43,396
"2020-02-26",239,161,186,75,8,489,103,40,34,45,219,219,65,41603,229,37,153,214,27,32,3,6,0,52,373,62,29,221,36,0,40,28,337
"2020-02-27",191,157,169,67,8,450,89,32,32,37,197,184,66,39572,209,32,133,179,25,27,2,4,0,49,363,58,26,210,31,0,31,22,272
"2020-02-28",163,146,148,60,7,406,82,32,30,35,184,140,62,36829,183,30,116,144,19,27,2,4,0,45,345,55,21,197,31,0,21,16,229
"2020-02-29",116,132,132,52,7,359,74,32,15,30,166,81,60,34617,168,26,108,123,17,24,2,4,0,37,329,47,19,184,24,0,11,15,188
"2020-03-01",111,129,120,48,5,326,69,32,14,18,125,52,58,32610,148,23,95,103,14,18,2,4,0,36,309,44,17,170,22,0,9,9,158
"2020-03-02",67,124,101,40,4,284,58,30,12,16,111,45,62,30366,127,21,88,84,9,18,2,5,0,28,292,42,14,149,22,0,7,4,136
"2020-03-03",48,118,80,35,3,242,48,30,8,12,101,19,61,28174,108,15,69,64,9,18,1,5,0,28,241,41,9,141,9,0,5,3,119
"2020-03-04",28,113,68,25,2,210,40,30,5,11,94,16,66,25904,98,11,54,50,6,18,1,6,0,21,236,37,9,129,9,0,4,3,98
"2020-03-05",14,113,58,18,13,163,36,30,4,8,89,11,60,23972,76,9,48,33,4,18,1,6,0,20,174,33,7,111,5,0,3,3,90
"2020-03-06",5,115,57,11,30,129,33,30,4,7,72,6,59,22628,59,9,37,25,2,18,0,4,0,18,134,33,7,94,5,0,2,2,67
"2020-03-07",5,115,44,0,31,108,32,29,4,5,65,6,55,21207,54,7,25,18,2,17,0,4,0,18,125,26,7,82,5,0,1,2,60
"2020-03-08",0,112,43,0,35,89,27,27,3,5,56,3,53,19486,46,4,19,15,2,15,0,4,0,17,110,25,7,72,5,0,0,2,53
"2020-03-09",0,105,28,0,34,84,20,21,3,5,38,3,53,18247,35,4,10,11,1,15,0,4,0,17,52,24,6,70,3,0,0,2,38
"2020-03-10",0,101,23,0,35,71,16,15,3,5,34,3,52,16993,24,4,4,7,1,13,0,4,0,17,33,22,2,58,2,0,0,2,23
"2020-03-11",0,101,16,0,37,66,12,11,3,5,33,2,58,15593,19,3,4,2,1,13,0,3,0,12,28,21,2,48,2,0,0,2,19
"2020-03-12",0,93,6,0,37,59,9,7,2,4,28,2,59,14407,15,3,2,0,1,12,0,3,0,11,20,20,1,38,1,0,0,2,17
"2020-03-13",0,86,4,0,37,52,7,4,2,2,23,2,53,13171,9,3,1,0,1,12,0,3,0,11,14,19,0,33,1,0,0,2,17
"2020-03-14",0,80,1,0,38,49,7,1,2,2,22,1,58,11755,0,3,1,0,1,11,0,2,0,11,12,26,0,25,1,0,0,0,15
"2020-03-15",0,81,0,0,40,48,7,1,2,2,16,1,60,10421,0,3,0,0,1,10,0,2,0,11,12,26,0,20,0,0,0,0,19
"2020-03-16",0,84,0,0,40,47,2,0,1,2,14,1,67,9557,0,1,0,0,0,9,1,0,0,10,7,27,0,20,0,0,0,2,14
"2020-03-17",0,79,0,0,40,49,3,1,1,2,13,1,70,8685,0,1,0,0,0,4,2,0,0,7,8,30,0,17,0,0,0,2,15
"2020-03-18",0,83,0,0,40,49,1,0,1,2,10,1,85,7751,0,1,0,0,0,2,5,0,0,6,8,32,0,12,0,0,0,2,15
"2020-03-19",0,92,0,0,41,52,1,0,1,2,10,1,109,6988,0,0,0,0,0,2,7,0,0,6,7,34,0,1,1,0,0,2,15
"2020-03-20",0,93,0,3,34,64,2,0,1,2,8,1,154,6285,0,0,0,0,0,2,7,0,0,7,7,42,0,2,1,0,0,2,14
"2020-03-21",0,100,0,7,19,67,2,0,1,2,8,1,171,5715,0,0,0,0,0,2,8,0,0,6,8,50,0,3,1,0,0,2,16
"2020-03-22",0,114,1,17,20,76,2,0,1,3,5,2,213,5214,0,0,2,1,0,1,14,0,0,6,10,72,0,4,1,0,0,2,18
"2020-03-23",0,129,2,17,20,75,2,0,1,3,6,2,252,4768,0,0,2,1,0,1,14,0,0,6,10,71,1,4,5,0,0,2,16
"2020-03-24",0,149,2,22,15,87,2,0,-6,3,3,2,281,4317,0,0,5,1,0,1,15,0,0,6,9,80,1,6,9,0,0,2,18
"2020-03-25",0,150,2,26,15,89,2,0,-6,3,3,2,304,3827,0,2,7,1,1,1,20,0,0,7,10,98,1,8,9,0,0,2,19
"2020-03-26",0,152,2,32,13,104,2,0,-6,3,2,3,339,3431,0,14,9,1,2,2,21,0,0,8,12,115,2,8,15,0,0,4,20
"2020-03-27",0,153,2,35,11,111,2,0,-6,3,2,3,405,2895,0,17,10,1,2,2,23,0,0,8,13,129,2,9,19,0,0,6,24
"2020-03-28",0,155,2,41,9,118,2,0,-6,3,2,2,445,2526,0,19,10,1,4,6,27,0,0,8,13,146,2,9,25,0,0,6,25
"2020-03-29",0,157,3,42,11,118,2,0,-6,3,2,3,525,2049,0,20,13,2,5,8,27,0,0,8,13,153,3,11,30,0,0,6,28
"2020-03-30",0,154,3,44,11,125,2,0,-6,5,2,3,555,1726,0,22,14,1,5,10,28,0,0,8,13,155,3,11,38,0,0,6,29
"2020-03-31",0,154,3,47,11,130,2,0,-6,5,2,3,582,1461,0,32,15,1,5,13,31,0,0,8,14,163,3,11,36,0,0,8,30
"2020-04-01",0,154,3,46,9,136,2,0,-6,7,2,3,614,1283,0,36,15,1,5,14,31,0,0,10,14,169,4,12,38,0,0,8,30
"2020-04-02",0,150,3,45,9,134,0,0,0,9,6,3,651,1132,1,42,16,1,5,15,31,0,0,10,15,173,4,14,38,0,0,9,29
"2020-04-03",0,142,3,48,9,138,0,0,0,10,7,3,668,987,1,42,19,1,5,15,33,0,0,8,17,172,4,15,37,0,0,10,31
"2020-04-04",0,139,3,48,5,130,0,0,0,10,9,3,685,834,1,42,19,1,5,14,33,0,0,8,16,167,4,16,33,0,0,10,32
"2020-04-05",0,137,3,46,5,129,0,0,0,11,22,3,680,648,1,42,18,1,5,14,34,0,0,8,17,142,5,16,33,0,0,10,32
"2020-04-06",0,136,3,44,5,129,0,0,0,11,42,2,694,577,1,43,18,1,5,12,34,0,0,7,18,141,5,16,33,0,0,10,33
"2020-04-07",0,131,3,45,5,124,0,0,0,9,62,2,715,518,1,46,18,1,5,12,34,0,0,7,19,126,5,16,26,0,0,9,34
"2020-04-08",0,125,3,42,4,117,0,0,0,9,86,2,692,448,1,49,18,1,4,11,35,0,0,7,21,118,29,16,25,0,0,9,33
"2020-04-09",1,116,3,42,2,108,0,0,0,8,126,2,676,401,1,46,18,1,4,10,35,0,0,7,20,123,32,16,27,0,0,9,31
"2020-04-10",1,111,3,39,2,102,0,0,0,8,155,2,676,351,1,48,17,0,2,10,35,0,0,7,20,113,34,11,22,0,0,9,31
"2020-04-11",1,107,3,33,2,103,0,0,0,8,178,2,660,320,1,75,16,0,1,10,35,0,0,5,20,110,37,10,19,0,0,8,30
"2020-04-12",1,102,3,30,2,101,0,0,0,8,201,1,640,303,1,105,15,0,2,7,32,0,0,5,20,154,37,10,19,0,0,8,28
"2020-04-13",1,97,3,26,2,93,0,0,0,8,257,1,645,244,1,106,15,0,3,7,32,0,0,5,19,165,38,9,17,0,0,8,27
"2020-04-14",1,90,3,23,1,98,0,0,0,7,336,0,574,219,1,98,12,0,3,5,32,0,0,5,18,143,38,9,14,0,0,7,24
"2020-04-15",1,87,3,21,1,96,0,0,0,7,358,0,554,179,1,95,11,0,5,5,29,0,0,2,16,130,51,7,11,0,0,6,23
"2020-04-16",1,82,3,19,0,92,0,0,0,7,377,0,528,146,1,98,11,0,5,3,29,0,0,2,16,132,59,5,11,0,0,6,23
"2020-04-17",1,76,3,19,0,94,0,0,0,6,388,0,484,129,1,89,10,0,4,4,29,0,0,1,19,109,62,5,13,0,0,5,21
"2020-04-18",1,76,3,18,0,89,0,0,0,6,407,0,452,122,0,88,10,0,4,2,28,0,0,1,15,109,62,5,13,0,0,5,21
"2020-04-19",1,75,3,15,0,82,0,0,0,6,413,0,419,109,0,88,10,0,6,2,25,0,0,1,15,107,62,4,12,0,0,4,20
"2020-04-20",1,71,3,15,0,79,0,0,0,5,420,0,391,105,0,89,10,0,6,1,23,0,0,1,15,101,62,4,12,0,0,4,18
"2020-04-21",1,69,3,13,0,73,0,0,0,5,425,0,375,102,0,85,9,0,8,1,21,0,0,21,15,101,57,4,10,0,0,4,16
