"","0s","10s","20s","30s","40s","50s","60s","70s","80s"
"2020-03-02",0,1,9,3,4,6,3,1,0
"2020-03-03",0,1,10,4,5,6,4,1,0
"2020-03-04",0,1,12,4,6,8,4,1,0
"2020-03-05",0,3,26,10,12,17,10,4,1
"2020-03-06",0,5,32,11,15,20,13,5,2
"2020-03-07",0,5,35,12,16,22,14,6,3
"2020-03-08",1,6,39,13,17,24,15,7,3
"2020-03-09",1,8,49,17,22,31,20,9,4
"2020-03-10",2,13,73,26,34,46,30,14,6
"2020-03-11",2,15,83,30,40,54,35,17,8
"2020-03-12",3,17,96,34,46,63,40,20,9
"2020-03-13",4,27,146,52,71,97,62,31,14
"2020-03-14",7,37,203,74,100,137,87,43,21
"2020-03-15",8,44,237,86,117,161,102,51,24
"2020-03-16",11,60,322,118,159,219,140,70,34
"2020-03-17",14,74,396,145,197,271,172,86,41
"2020-03-18",16,80,433,161,216,297,192,94,47
"2020-03-19",20,102,541,203,271,375,244,121,66
"2020-03-20",25,117,617,232,311,430,282,139,77
"2020-03-21",29,137,714,269,361,500,330,165,102
"2020-03-22",33,152,792,300,403,557,368,184,116
"2020-03-23",36,164,864,327,438,606,401,200,125
"2020-03-24",41,184,958,361,484,671,442,224,137
"2020-03-25",43,196,1023,389,515,709,469,236,145
"2020-03-26",48,221,1140,433,569,786,519,261,162
"2020-03-27",53,244,1247,472,618,858,565,290,178
"2020-03-28",56,258,1323,503,658,912,608,304,186
"2020-03-29",59,271,1388,529,688,954,634,315,191
"2020-03-30",61,282,1446,550,712,991,658,327,196
"2020-03-31",62,289,1492,568,736,1034,681,339,202
"2020-04-01",66,297,1535,587,757,1062,699,350,210
"2020-04-02",70,310,1606,619,792,1109,733,366,218
"2020-04-03",73,321,1664,639,820,1141,756,376,225
"2020-04-04",77,335,1750,675,859,1195,796,398,237
"2020-04-05",79,343,1792,695,879,1215,812,404,238
"2020-04-06",82,354,1832,708,897,1236,828,414,243
"2020-04-07",83,359,1861,720,911,1251,843,417,246
"2020-04-08",83,364,1884,732,920,1265,854,420,248
"2020-04-09",87,376,1940,756,949,1299,878,431,254
"2020-04-10",89,384,1981,772,967,1325,897,439,259
"2020-04-11",91,393,2014,785,984,1348,915,445,263
"2020-04-12",93,401,2052,800,999,1370,929,453,266
"2020-04-13",95,405,2077,808,1008,1384,940,457,269
"2020-04-14",96,411,2102,819,1021,1399,950,462,270
"2020-04-15",96,418,2126,830,1032,1412,959,465,273
"2020-04-16",100,427,2166,844,1051,1438,977,474,276
"2020-04-17",102,433,2188,853,1059,1450,984,478,277
"2020-04-18",105,438,2222,864,1073,1469,997,485,281
"2020-04-19",106,445,2252,875,1086,1488,1009,491,285
"2020-04-20",107,451,2274,883,1095,1502,1017,494,286
"2020-04-21",108,457,2302,893,1108,1522,1029,500,290
"2020-04-22",109,461,2320,900,1119,1532,1036,503,292
